Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
6,144.666667,0,0,5,123.666667,0.033333,0.013333,0,0,Nov,1,1,1,8,New_Visitor,TRUE,FALSE
1,0,0,0,4,795,0.066667,0.111111,0,0,Nov,3,2,9,6,Returning_Visitor,TRUE,FALSE
2,47.4,0,0,14,478.6,0.04375,0.079167,0,0,Jul,4,1,1,4,Returning_Visitor,TRUE,FALSE
0,0,0,0,22,2464.9,0.00303,0.051515,0,0.8,May,2,2,6,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,5,111.25,0,0.033333,0,0,Nov,2,2,1,20,Returning_Visitor,FALSE,FALSE
6,94.1,0,0,92,4212.141886,0.008333,0.021875,6.664928,0,Nov,1,1,1,2,Returning_Visitor,TRUE,TRUE
0,0,0,0,3,19.25,0,0.066667,0,0,Nov,1,1,8,2,Returning_Visitor,TRUE,FALSE
3,52,0,0,60,3451.751515,0.006667,0.011566,0,0,Mar,3,2,3,1,Returning_Visitor,TRUE,FALSE
0,0,0,0,8,143.2,0,0.029167,0,0,Nov,3,2,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,37,2152.588889,0.001081,0.017748,0,0,Dec,3,3,3,3,Returning_Visitor,FALSE,FALSE
7,86.75,1,0,101,3094.366667,0.00027,0.014951,56.722272,0,Nov,2,2,1,2,Returning_Visitor,FALSE,TRUE
3,81.333333,1,32.5,17,733.5,0,0.002632,0,0,Dec,2,7,9,10,Returning_Visitor,TRUE,FALSE
14,574.451191,0,0,41,2688.864762,0,0.011853,36.962205,0,Sep,3,2,3,4,Returning_Visitor,FALSE,TRUE
0,0,1,0,35,1742.883333,0.011429,0.041143,0,0,May,2,2,1,4,Returning_Visitor,FALSE,FALSE
18,1012.5,6,114.333333,106,3163.096825,0.011665,0.021394,1.307682,0,Nov,3,2,6,13,Returning_Visitor,FALSE,FALSE
0,0,1,56,8,497.333333,0.03,0.06,0,0.4,May,3,2,3,3,Returning_Visitor,FALSE,FALSE
4,504.3,0,0,3,7,0.05,0.0625,0,0,Nov,3,2,3,3,Returning_Visitor,FALSE,FALSE
0,0,3,60.5,74,3105.365207,0.015789,0.022262,0,0,Nov,1,2,5,2,Returning_Visitor,FALSE,FALSE
4,47,1,49.5,28,687.467063,0.013978,0.027343,108.908988,0,Nov,1,1,1,2,Returning_Visitor,TRUE,TRUE
3,346,1,15.2,29,1107.216667,0.006061,0.006701,69.914392,0,Nov,2,2,5,2,Returning_Visitor,FALSE,FALSE
3,284,0,0,33,2270.75,0,0.01084,0,0,Dec,2,2,7,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,5,0,0.1,0,0,Mar,2,2,1,13,Returning_Visitor,TRUE,FALSE
0,0,0,0,11,337,0.045455,0.061818,0,0,Mar,1,1,9,3,Returning_Visitor,FALSE,FALSE
2,93,2,221,41,716.791667,0.008889,0.041481,0,0,Nov,2,2,3,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,0,0.2,0.2,0,0,Mar,1,8,2,1,Returning_Visitor,FALSE,FALSE
2,123.75,0,0,21,938.333333,0.01,0.016667,218.395192,0,Dec,1,1,3,2,Returning_Visitor,FALSE,FALSE
6,595.1,3,1439,19,1119.716667,0,0.016667,0,0,May,1,1,8,2,Returning_Visitor,FALSE,FALSE
4,237.833333,0,0,66,3268.075758,0.005882,0.029549,0,1,May,2,2,7,4,Returning_Visitor,TRUE,FALSE
1,27.5,3,17,1,10,0,0.04,0,0,Nov,1,1,1,8,New_Visitor,FALSE,TRUE
2,15,0,0,33,2081.5,0,0.017143,0,0.6,May,2,10,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,15,0,0.1,0,0,May,2,6,7,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,28,0,0.066667,0,0,May,4,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,50,1085.891081,0.025952,0.041399,0,0,Oct,1,1,1,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,4,67.5,0,0.05,0,0.6,May,2,2,1,2,Returning_Visitor,FALSE,FALSE
5,68.8,0,0,33,781.516667,0.005556,0.008333,22.536937,0,Jul,2,2,6,2,New_Visitor,TRUE,FALSE
0,0,0,0,2,0,0.2,0.2,0,0.8,May,3,2,2,13,Returning_Visitor,FALSE,FALSE
5,96.75,0,0,113,2151.097436,0,0.005172,0,0,Nov,2,2,2,11,New_Visitor,FALSE,FALSE
14,416.392857,6,449.333333,258,11301.20416,0,0.007425,33.611792,0,Mar,2,4,9,2,Returning_Visitor,FALSE,TRUE
1,4.333333,0,0,3,14.333333,0.006667,0.074444,0,0,June,4,2,1,5,Returning_Visitor,TRUE,TRUE
7,77.5,0,0,14,192.933333,0,0.013333,0,0,Mar,2,2,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,0,0.2,0.2,0,0.6,May,2,2,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,15,378.5,0.004444,0.037778,0,0,Nov,2,2,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,11,559.25,0.036364,0.042424,0,0,Dec,2,2,1,10,Returning_Visitor,FALSE,FALSE
11,1305.114737,4,629.514286,27,1161.479023,0.009804,0.022538,12.764902,0,Oct,1,2,3,20,Returning_Visitor,FALSE,TRUE
0,0,0,0,25,375.6,0,0.004,0,0.4,May,2,2,1,4,Returning_Visitor,FALSE,FALSE
3,49.5,0,0,68,2853.020833,0.008824,0.012827,0,0,Nov,1,1,1,3,Returning_Visitor,FALSE,FALSE
4,94.233333,2,72,145,2935.255477,0.001361,0.005708,0.268093,0,Aug,2,2,2,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,13,136,0.142857,0.154762,0,0.8,May,3,2,7,13,Returning_Visitor,FALSE,FALSE
2,34.25,0,0,55,3227.483333,0.003636,0.016364,0,0,Nov,2,2,3,13,Returning_Visitor,FALSE,FALSE
0,0,0,0,6,82.5,0,0.033333,0,0,Dec,2,2,1,2,Returning_Visitor,FALSE,FALSE
1,0,0,0,77,4350.647321,0.012727,0.023843,14.385468,0,Nov,2,2,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,54,1357.61783,0,0.004812,0,0,Mar,2,2,2,2,Returning_Visitor,TRUE,FALSE
0,0,0,0,6,308.166667,0.083333,0.095,0,0,Mar,1,1,6,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Dec,2,2,2,1,Returning_Visitor,FALSE,FALSE
5,96,0,0,81,2833.814103,0.000216,0.025137,0,0,Nov,4,1,7,2,Returning_Visitor,FALSE,FALSE
4,115.7,0,0,16,655.383333,0,0.012037,0,0,Nov,1,1,2,3,Returning_Visitor,FALSE,FALSE
4,71.3,0,0,66,4415.333333,0.00995,0.024531,0,0.4,May,2,2,6,11,Returning_Visitor,FALSE,FALSE
1,23.2,0,0,0,0,0,0.033333,0,0,Oct,2,2,6,3,Returning_Visitor,FALSE,TRUE
0,0,0,0,27,701.9,0.007407,0.028395,0,0,Aug,3,2,7,6,Returning_Visitor,FALSE,FALSE
1,0,0,0,4,795,0.066667,0.111111,0,0,Nov,3,2,9,6,Returning_Visitor,TRUE,FALSE
1,33.5,0,0,34,1181.85119,0,0.035156,0,0,Nov,1,1,1,2,Returning_Visitor,FALSE,TRUE
0,0,0,0,4,251,0.05,0.1,0,0,Nov,2,2,4,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,May,3,2,3,15,Returning_Visitor,TRUE,FALSE
2,298.2,0,0,48,1850.116667,0.004082,0.004422,7.562922,0,Nov,1,1,2,2,Returning_Visitor,TRUE,TRUE
0,0,0,0,1,0,0.2,0.2,0,0,Sep,2,2,1,1,Returning_Visitor,TRUE,FALSE
0,0,0,0,14,1789.39881,0,0.029048,0,0,Mar,1,1,2,2,Returning_Visitor,FALSE,FALSE
5,59,0,0,3,44.666667,0,0.025,0,0,Mar,2,4,6,2,Returning_Visitor,TRUE,FALSE
2,21.2,0,0,7,897.8,0,0.055556,0,0,Aug,2,2,1,1,Returning_Visitor,FALSE,FALSE
5,211.25,0,0,22,1344.75,0.034783,0.048447,0,0,Nov,3,2,2,8,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,76.5,0.04,0.047619,0,0,May,1,1,4,5,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,29.5,0,0.1,0,0,Nov,1,1,3,2,Returning_Visitor,FALSE,FALSE
0,0,6,451.5,28,674.434524,0.005882,0.017647,0,0,May,3,2,4,1,Returning_Visitor,TRUE,FALSE
3,142.5,0,0,48,1052.255952,0.004348,0.013043,0,0,Nov,1,8,6,11,Returning_Visitor,FALSE,FALSE
3,16,0,0,24,1004.383333,0,0.023077,0,0,June,2,2,4,13,Returning_Visitor,FALSE,FALSE
1,4,0,0,6,102,0,0.057143,0,0,May,2,2,1,3,New_Visitor,FALSE,FALSE
5,262.5,0,0,45,1456.27381,0,0.018707,13.530684,0,May,2,2,7,4,Returning_Visitor,FALSE,TRUE
2,33.2,0,0,9,162.233333,0,0.018182,0,0,Sep,2,2,1,5,Returning_Visitor,FALSE,FALSE
0,0,0,0,15,1652,0.04,0.073333,0,0,May,2,5,1,3,Returning_Visitor,FALSE,FALSE
3,89,0,0,26,655.535714,0,0.0375,0,0,Nov,2,2,4,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,11,169.375,0,0.018182,0,0,Dec,3,2,3,1,Returning_Visitor,FALSE,FALSE
5,20,0,0,72,3220.887143,0.024937,0.061689,0.975803,0,Oct,4,1,2,1,Returning_Visitor,FALSE,FALSE
0,0,2,246.5,52,1838.85,0.003704,0.014506,0,0,Dec,2,7,3,2,New_Visitor,FALSE,FALSE
2,14,0,0,49,789.958333,0.004167,0.015097,0,0,Mar,3,2,7,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,0,0.2,0.2,0,0,June,3,2,4,13,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Feb,1,1,3,4,Returning_Visitor,TRUE,FALSE
5,147.75,0,0,44,670.3,0.012766,0.023404,0,0,May,2,2,4,3,Returning_Visitor,FALSE,FALSE
3,75.5,1,0,130,4737.087716,0.006061,0.011476,43.774241,0,Nov,2,2,1,2,Returning_Visitor,FALSE,TRUE
0,0,0,0,14,1789.39881,0,0.029048,0,0,Mar,1,1,2,2,Returning_Visitor,FALSE,FALSE
1,0,0,0,77,4350.647321,0.012727,0.023843,14.385468,0,Nov,2,2,1,2,Returning_Visitor,FALSE,FALSE
4,148.5,1,118,150,4764.429997,0,0.005637,33.330745,0,Mar,2,2,5,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Aug,2,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,25,981,0.024,0.048,15.3956,0,May,2,4,3,1,Returning_Visitor,FALSE,TRUE
3,61,0,0,79,2819.966667,0.006098,0.02439,0,0,May,2,2,1,13,Returning_Visitor,FALSE,FALSE
0,0,0,0,7,228.5,0.028571,0.02381,0,0,Dec,3,2,6,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,7,155,0.066667,0.1,0,0,May,2,2,1,4,Returning_Visitor,FALSE,FALSE
5,44.75,3,51.5,107,3074.852778,0.015455,0.02624,0,0,Nov,2,2,3,1,Returning_Visitor,TRUE,FALSE
1,9.5,0,0,17,314,0,0.024444,0,0,May,1,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,38,1593.583333,0,0.010526,0,0,Nov,2,2,2,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,27,228.9,0.014815,0.037037,0,0,Aug,4,1,1,1,Returning_Visitor,FALSE,FALSE
6,105.633333,2,105.95,8,246.386508,0,0.008929,0,0,Nov,3,2,2,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,23,517.035714,0,0.009524,23.300007,0,Dec,4,2,8,2,New_Visitor,FALSE,TRUE
5,106.9,0,0,211,7442.388149,0.012736,0.028901,0,0,Aug,2,2,3,13,Returning_Visitor,FALSE,FALSE
0,0,0,0,8,623.076923,0,0.010884,0,0,May,3,2,4,3,Returning_Visitor,FALSE,FALSE
1,19,0,0,4,296.916667,0.04,0.04,0,0,Dec,3,2,1,6,Returning_Visitor,FALSE,FALSE
0,0,0,0,13,748.233333,0,0,0,0,Oct,1,1,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,63,2593.808333,0.036508,0.066667,0,0,Jul,3,2,8,20,Returning_Visitor,FALSE,FALSE
1,10,0,0,16,120,0.053333,0.08,0,0,May,2,2,6,4,Returning_Visitor,FALSE,FALSE
10,78.9,0,0,15,718.8,0,0.015789,0,0,Nov,2,2,4,2,New_Visitor,FALSE,FALSE
2,7,0,0,21,467.952381,0.047619,0.068254,0,0,May,2,5,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,4,103.5,0,0.05,0,0,Nov,2,2,1,6,Returning_Visitor,FALSE,FALSE
1,7,0,0,15,421.5,0,0.033333,0,0.6,May,3,2,1,3,Returning_Visitor,FALSE,FALSE
2,23,0,0,97,1589.183333,0.00807,0.014967,0,0,May,2,5,1,3,Returning_Visitor,FALSE,FALSE
2,52,0,0,28,1265.75,0,0.028889,4.1976,0,May,2,2,8,1,Returning_Visitor,FALSE,FALSE
0,0,10,518.25,60,2068.248473,0.002857,0.034059,0,0,Nov,1,1,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,4,135.5,0,0.05,0,0.6,Feb,2,2,1,2,Returning_Visitor,FALSE,FALSE
9,162.05,0,0,27,399.693939,0,0.009195,0,0,Mar,1,1,7,2,New_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Dec,2,2,3,1,Other,TRUE,FALSE
9,303.866667,0,0,72,3752.66697,0.007042,0.00728,0,0,Nov,1,1,1,3,Returning_Visitor,FALSE,FALSE
5,68.8,0,0,33,781.516667,0.005556,0.008333,22.536937,0,Jul,2,2,6,2,New_Visitor,TRUE,FALSE
0,0,0,0,34,1491.775,0.00202,0.024793,0,0,Nov,2,2,6,11,Returning_Visitor,TRUE,TRUE
2,10.3,0,0,142,4204.433333,0.009722,0.021346,0.770992,0,Jul,2,2,4,13,Returning_Visitor,FALSE,FALSE
4,104.2,0,0,19,456.9,0,0.0125,0,0,Aug,2,2,8,6,New_Visitor,TRUE,FALSE
1,71.6,0,0,7,286.7,0,0.008333,0,0,Aug,1,1,7,3,New_Visitor,FALSE,FALSE
0,0,0,0,37,2152.588889,0.001081,0.017748,0,0,Dec,3,3,3,3,Returning_Visitor,FALSE,FALSE
2,78,0,0,22,325,0,0.007246,19.103496,0,Dec,4,1,3,1,Returning_Visitor,TRUE,TRUE
2,114,0,0,11,427,0.014286,0.042857,39.42,0,May,2,2,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Dec,2,2,1,2,Returning_Visitor,FALSE,FALSE
3,604.5,6,75.666667,50,2387.435714,0.019394,0.037838,0,1,May,1,1,3,15,Returning_Visitor,TRUE,FALSE
0,0,0,0,8,198.9,0.0875,0.116667,0,0,Jul,1,1,1,3,Returning_Visitor,FALSE,FALSE
1,12,0,0,43,2209.554876,0.010317,0.022317,0,0,Dec,1,1,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Nov,2,4,3,3,Returning_Visitor,FALSE,FALSE
1,0,0,0,34,2161.979365,0.00625,0.020234,0,0,Mar,3,2,1,1,Returning_Visitor,FALSE,FALSE
2,166,2,55,10,1968.25,0.014286,0.021429,0,0,May,1,1,1,6,New_Visitor,TRUE,FALSE
5,110,0,0,39,1584.044444,0,0.016744,12.731442,0,May,4,1,8,4,Returning_Visitor,FALSE,FALSE
2,52.5,0,0,10,753.1,0,0.02,0,0,Nov,2,2,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,39,1294.599603,0.002703,0.011568,0,0,Nov,3,2,1,20,Returning_Visitor,TRUE,FALSE
3,40,0,0,9,1362,0,0.008333,0,0,Mar,2,2,7,6,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,May,2,4,1,6,Returning_Visitor,FALSE,FALSE
9,236.8,0,0,240,5523.926505,0,0.001197,20.623871,0,Oct,2,5,4,20,Returning_Visitor,FALSE,TRUE
1,0,1,0,0,0,0.2,0.2,0,0,May,1,1,6,2,Returning_Visitor,FALSE,FALSE
1,8.1,0,0,16,2227.8,0,0.021429,0,0,Sep,2,2,1,5,New_Visitor,FALSE,TRUE
0,0,2,20.2,11,473.833333,0,0.025,0,0,June,3,2,8,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,57,2167.126924,0.008182,0.017137,12.360043,0,Nov,3,2,3,1,Returning_Visitor,TRUE,TRUE
0,0,0,0,12,459,0,0.02,0,0,Mar,2,4,3,1,Returning_Visitor,FALSE,FALSE
3,96.5,0,0,8,323.5,0,0.02,0,0,Dec,1,1,6,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,0,0.2,0.2,0,0.8,May,3,2,2,13,Returning_Visitor,FALSE,FALSE
0,0,0,0,16,973.5,0.025,0.045833,0,0,May,2,2,1,1,Returning_Visitor,FALSE,FALSE
3,49.125,0,0,19,344.345238,0.010526,0.015789,0,0,Nov,3,2,1,13,Returning_Visitor,FALSE,FALSE
0,0,0,0,57,980.833333,0.007143,0.044643,0,0.8,May,2,2,3,11,Returning_Visitor,FALSE,FALSE
2,67.5,2,100.2,17,1770.8,0.026316,0.035088,0,0,Nov,2,2,2,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,16,431.5,0.05625,0.092083,0,0.2,May,3,2,1,13,Returning_Visitor,FALSE,FALSE
0,0,0,0,15,1652,0.04,0.073333,0,0,May,2,5,1,3,Returning_Visitor,FALSE,FALSE
4,226,0,0,81,4836.486905,0.002381,0.010714,5.3123,0,Nov,2,2,1,2,Returning_Visitor,FALSE,TRUE
0,0,0,0,2,0,0.2,0.2,0,0,Jul,1,1,3,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,7,432,0,0.014286,270.784693,0,Nov,2,4,1,8,New_Visitor,FALSE,TRUE
4,82.5,0,0,16,299.5,0,0.005556,0,0,Dec,1,1,4,2,Returning_Visitor,TRUE,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Aug,3,2,2,3,Returning_Visitor,FALSE,FALSE
4,15,1,17,17,490,0,0.027273,15.664452,0,Mar,2,2,4,10,Returning_Visitor,FALSE,TRUE
4,45.75,0,0,18,1273.083333,0,0.031818,6.750968,0,Dec,1,1,1,1,Returning_Visitor,FALSE,TRUE
4,40.2,1,16.133333,9,229.883333,0,0.014286,0,0,Oct,2,2,6,2,New_Visitor,FALSE,FALSE
3,335,0,0,6,1615,0,0.016667,0,0.8,May,3,3,1,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,39,1294.599603,0.002703,0.011568,0,0,Nov,3,2,1,20,Returning_Visitor,TRUE,FALSE
3,34.5,0,0,17,298.875,0,0.014035,0,0,Dec,1,5,1,2,New_Visitor,FALSE,FALSE
0,0,0,0,29,364.166667,0.02069,0.01954,0,0,May,3,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,20,1066.166667,0.005,0.006429,0,0.8,May,2,4,4,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,41,419,0.013008,0.034959,0,0,Mar,2,2,1,3,Returning_Visitor,FALSE,FALSE
3,75.5,1,0,130,4737.087716,0.006061,0.011476,43.774241,0,Nov,2,2,1,2,Returning_Visitor,FALSE,TRUE
9,137.322222,1,418.5,41,1933.244444,0.006079,0.021222,0,0,Dec,2,2,1,2,Returning_Visitor,FALSE,FALSE
0,0,1,24,9,717,0.02,0.03,0,0,May,3,2,5,13,Returning_Visitor,FALSE,FALSE
1,0,1,66.4,14,668.316667,0.014286,0.028571,44.893459,0,Oct,4,2,1,20,Returning_Visitor,TRUE,TRUE
0,0,0,0,1,0,0.2,0.2,0,0,Mar,2,4,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Nov,2,4,3,3,Returning_Visitor,FALSE,FALSE
0,0,1,11,35,926.669048,0.016667,0.054931,0,1,May,2,2,1,4,Returning_Visitor,TRUE,FALSE
0,0,0,0,25,445.583333,0.004,0.024,0,0,Dec,2,10,1,1,Returning_Visitor,FALSE,FALSE
2,12,0,0,85,3887.222321,0.000595,0.018506,0,0,Dec,3,2,7,3,Returning_Visitor,FALSE,FALSE
4,341.6,0,0,3,77,0,0.022222,0,0,Oct,3,2,8,2,New_Visitor,TRUE,FALSE
4,71.3,0,0,66,4415.333333,0.00995,0.024531,0,0.4,May,2,2,6,11,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Dec,2,2,8,3,Returning_Visitor,FALSE,FALSE
5,209.625,2,118.75,21,398,0.006897,0.021839,0,0,Dec,2,2,4,2,New_Visitor,FALSE,FALSE
4,209.0625,0,0,71,3401.050687,0.005128,0.026239,0,0,Nov,2,2,2,2,Returning_Visitor,FALSE,FALSE
7,86.277778,2,21,80,2170.286706,0.003571,0.021528,25.765986,0,Nov,3,2,1,10,Returning_Visitor,TRUE,TRUE
9,132.05,4,137,56,1775.89,0,0.025521,4.365181,0,June,4,2,1,1,Returning_Visitor,FALSE,FALSE
6,595.1,3,1439,19,1119.716667,0,0.016667,0,0,May,1,1,8,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,73,2784.8,0.00274,0.015318,6.135982,0,Nov,2,2,5,2,Returning_Visitor,TRUE,FALSE
0,0,0,0,3,21,0,0.066667,0,0,Nov,2,4,2,2,Returning_Visitor,TRUE,TRUE
0,0,0,0,9,740.166667,0,0.014286,0,0,Nov,3,2,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,May,2,4,1,6,Returning_Visitor,FALSE,FALSE
0,0,0,0,28,512.716667,0.007143,0.013571,1.401949,0,Jul,2,2,7,1,Returning_Visitor,TRUE,TRUE
0,0,0,0,7,316.25,0,0.014286,0,0,May,3,2,1,4,Returning_Visitor,TRUE,FALSE
1,1566.6,0,0,34,2256.74954,0,0.00025,0,0,Oct,2,2,3,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,7,723,0,0.028571,32.906118,0,Dec,2,2,4,1,Returning_Visitor,TRUE,TRUE
7,149.916667,0,0,31,1539.791667,0,0.011728,19.1105,0,May,2,2,4,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,6,106,0.04,0.08,0,0,May,3,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Nov,2,6,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,222,8068.742154,0.008326,0.023298,4.789723,0,Nov,2,2,2,1,Returning_Visitor,TRUE,FALSE
0,0,0,0,8,721.416667,0,0.009524,0,0,Nov,2,5,3,8,New_Visitor,TRUE,FALSE
5,103.9,1,15.1,199,7959.909524,0.028595,0.058448,0,0,Aug,2,2,3,13,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,116.75,0,0.066667,0,0,Nov,3,2,1,10,Returning_Visitor,TRUE,FALSE
2,27.583333,0,0,22,420.2,0.008696,0.015162,0,0,May,3,2,1,4,Returning_Visitor,FALSE,FALSE
7,156.5,1,122,26,694.712121,0,0.002976,0,0,Mar,2,4,1,2,Returning_Visitor,FALSE,FALSE
4,15,1,17,17,490,0,0.027273,15.664452,0,Mar,2,2,4,10,Returning_Visitor,FALSE,TRUE
1,15,0,0,18,343.833333,0,0.0125,38.339943,0,Dec,2,13,9,20,New_Visitor,FALSE,TRUE
0,0,0,0,7,277.166667,0.028571,0.05,0,0,Nov,3,2,4,13,Returning_Visitor,FALSE,FALSE
5,113.666667,0,0,25,733.166667,0.006897,0.041609,0,0,Sep,1,8,1,1,Returning_Visitor,FALSE,FALSE
3,61,0,0,31,1470.416667,0,0.006667,0,0,May,1,2,1,3,New_Visitor,FALSE,FALSE
0,0,0,0,41,3272,0.045238,0.078571,0,0.8,May,2,6,1,6,Returning_Visitor,FALSE,FALSE
0,0,0,0,10,273.75,0.02,0.053333,0,0,Nov,1,1,2,8,Returning_Visitor,FALSE,TRUE
0,0,0,0,1,0,0.2,0.2,0,0,June,2,2,1,3,Returning_Visitor,FALSE,FALSE
