longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-118.12,33.9,38,1222,282,756,256,4.125,173900,'<1H OCEAN'
-119.29,34.3,24,7637,1705,4647,1623,3.5385,186800,'NEAR OCEAN'
-122.44,37.76,52,2959,683,1145,666,4.2222,361600,'NEAR BAY'
-118.09,33.91,34,1582,343,1356,324,3.4211,141100,'<1H OCEAN'
-121.33,37.99,15,4472,1079,1837,976,2.5,175900,INLAND
-121.2,39.25,5,906,144,376,141,4.3523,188200,INLAND
-118.39,37.36,38,1813,410,902,396,2.3261,98400,INLAND
-122.41,37.78,52,1928,836,2124,739,1.1185,55000,'NEAR BAY'
-118.77,34.28,6,4685,965,2180,909,4.5458,208200,'<1H OCEAN'
-117.92,34.07,36,1057,207,658,207,4.7708,191700,'<1H OCEAN'
-117.74,33.89,4,37937,5471,16122,5189,7.4947,366300,'<1H OCEAN'
-117.96,34.08,39,1076,338,1242,332,2.2679,151800,'<1H OCEAN'
-122.21,37.79,34,2364,557,1517,516,2.8365,139200,'NEAR BAY'
-118,34.16,42,1020,156,398,157,6.101,311800,INLAND
-122.08,37.68,26,2607,682,1401,607,2.6563,184100,'NEAR BAY'
-121.42,38.49,17,13180,2444,7235,2335,3.363,103000,INLAND
-117.87,34.08,33,4518,716,2037,764,5.6015,267200,'<1H OCEAN'
-116.97,32.81,19,1573,471,844,414,2.1422,125000,'<1H OCEAN'
-120.51,40.41,36,36,8,4198,7,5.5179,67500,INLAND
-121.26,37.95,39,1841,428,1368,390,2.1583,62000,INLAND
-117.24,32.79,20,961,278,525,254,3.1838,245800,'NEAR OCEAN'
-118.07,34.51,14,2798,459,1236,404,4.8667,239900,INLAND
-120.97,37.43,27,1380,?,810,262,2.1875,137500,INLAND
-118.12,33.91,35,620,122,381,124,3.7917,183900,'<1H OCEAN'
-118.23,33.93,36,501,123,487,118,1.3,87000,'<1H OCEAN'
-122.05,37.37,35,1365,256,662,262,5.6533,291400,'<1H OCEAN'
-118.4,33.99,39,1613,380,1113,356,2.825,276700,'<1H OCEAN'
-117.07,32.64,30,2873,774,1593,731,2.24,129500,'NEAR OCEAN'
-117.05,33.29,17,1800,312,891,281,7.0177,267600,'<1H OCEAN'
-122.29,37.88,52,2159,424,824,388,3.8897,218400,'NEAR BAY'
-120.51,37.29,20,4927,1042,4205,1009,1.7679,79800,INLAND
-121.33,38.03,10,629,140,635,146,2.2961,126700,INLAND
-121.9,37.4,16,2998,603,1606,615,3.7622,150000,'<1H OCEAN'
-117.64,34.08,37,2576,468,1284,428,3.3958,130400,INLAND
-122.28,37.86,52,2031,450,958,445,1.9327,169900,'NEAR BAY'
-118.87,35.37,14,2458,433,1352,411,3.5441,87000,INLAND
-122.04,37.33,22,4011,963,2206,879,4.5721,351200,'<1H OCEAN'
-121.38,38.68,40,67,17,50,32,1.7596,93800,INLAND
-118.27,33.76,46,22,11,32,7,3.125,112500,'NEAR OCEAN'
-117.15,32.77,16,2056,631,847,569,2.9576,92200,'NEAR OCEAN'
-122.59,38.92,15,1410,329,599,273,2.1953,75000,INLAND
-117.1,32.75,17,871,379,955,351,1.4375,96400,'NEAR OCEAN'
-122.08,39.25,52,224,38,120,45,3.017,112500,INLAND
-121.16,38.67,21,6198,1223,2827,1179,3.7796,159000,INLAND
-122.07,37.68,36,1815,426,1280,431,3.25,218100,'NEAR BAY'
-122.03,37.62,35,2072,352,1001,350,4.7109,198700,'NEAR BAY'
-118.26,33.8,41,2004,481,1658,456,3.1779,171100,'<1H OCEAN'
-120.14,34.59,9,2536,499,832,385,2.5743,309800,'NEAR OCEAN'
-118.12,34.02,36,1595,383,1105,359,2.4286,205600,'<1H OCEAN'
-122.28,37.88,52,1193,200,506,207,4.1912,254500,'NEAR BAY'
-122.06,37.35,31,1795,281,872,282,8.0599,381800,'<1H OCEAN'
-118.12,33.83,44,1712,314,691,293,4.3594,221300,'<1H OCEAN'
-118.49,34.02,28,1394,582,716,543,1.5132,450000,'<1H OCEAN'
-118.06,34.11,36,2178,485,914,412,2.7656,239500,INLAND
-119.23,34.19,16,5297,810,1489,667,6.4522,500001,'NEAR OCEAN'
-117.33,33.19,15,3672,845,1827,796,2.9716,173600,'NEAR OCEAN'
-117.92,34.12,32,2552,576,2161,548,2.9459,144400,'<1H OCEAN'
-118.24,33.83,22,7368,1367,4721,1342,4.8438,213100,'<1H OCEAN'
-117.93,33.84,23,2870,653,1680,598,3.2301,189900,'<1H OCEAN'
-121.28,38.64,24,3459,573,1336,544,4.8661,186200,INLAND
-119.83,36.78,30,3162,640,1660,639,2.8359,80300,INLAND
-122.23,37.8,52,783,184,488,186,1.9375,126600,'NEAR BAY'
-118.29,33.92,23,2503,532,1735,505,2.7368,162800,'<1H OCEAN'
-122.8,38.37,26,1634,315,909,317,4.1731,257200,'<1H OCEAN'
-121.31,37.93,21,1556,314,1140,304,2.4667,81400,INLAND
-122.52,37.98,31,6555,1571,2962,1464,2.8903,324200,'NEAR BAY'
-117.09,32.66,46,844,147,423,161,3.375,136300,'NEAR OCEAN'
-117.17,32.8,20,2827,554,1822,536,3.4706,157600,'NEAR OCEAN'
-122.32,37.52,17,6645,1034,2557,1032,6.3892,480800,'NEAR OCEAN'
-118.34,33.93,36,1528,486,1824,470,2.2679,153900,'<1H OCEAN'
-119.86,36.43,34,1175,251,683,261,1.7176,58400,INLAND
-118.35,33.98,47,2512,461,1082,426,3.8235,207600,'<1H OCEAN'
-116.9,32.84,18,4215,810,2104,773,4.0873,146900,'<1H OCEAN'
-121.87,37.29,18,1892,568,974,553,2.3715,228000,'<1H OCEAN'
-118.36,34.08,52,1902,488,848,478,2.9621,175000,'<1H OCEAN'
-117.87,33.59,44,2499,396,910,374,6.6544,500001,'<1H OCEAN'
-117.93,33.65,35,2133,413,1473,402,4.4211,215200,'<1H OCEAN'
-121.75,36.76,32,1740,399,1563,389,2.7694,132400,'<1H OCEAN'
-122.26,37.82,31,4596,1331,2048,1180,2.8345,183800,'NEAR BAY'
-121.85,39.77,17,5273,1177,2446,1199,1.9362,89900,INLAND
-117.01,32.73,22,2526,530,1556,529,2.8646,120800,'NEAR OCEAN'
-118.64,34.18,33,3808,623,1784,615,5.1641,263400,'<1H OCEAN'
-122.42,37.76,52,3587,1030,2259,979,2.5403,250000,'NEAR BAY'
-119.48,36.54,28,2112,363,1011,335,4.2222,108900,INLAND
-117.03,32.75,24,7879,1655,3898,1534,3.0897,187300,'NEAR OCEAN'
-118.97,37.64,13,1907,544,575,234,3.0685,162500,INLAND
-122.18,37.78,43,1985,440,1085,407,3.4205,136700,'NEAR BAY'
-117.71,33.6,25,1949,459,602,428,2.7601,72500,'<1H OCEAN'
-117.21,33.13,15,1889,368,754,409,2.2278,132800,'NEAR OCEAN'
-121.89,38.01,32,1000,188,663,212,4.0972,99200,INLAND
-122.01,37.83,30,3917,549,1330,544,6.5617,386600,'NEAR BAY'
-120.67,35.48,18,2339,443,1097,416,3.3438,176100,'<1H OCEAN'
-120.41,34.96,21,1774,263,724,237,4.65,152500,'<1H OCEAN'
-122.27,37.47,44,3022,473,1235,477,6.7058,495900,'NEAR OCEAN'
-121.14,35.55,13,5383,1070,1880,796,3.8019,271200,'NEAR OCEAN'
-117.81,33.67,9,2435,396,1194,385,7.2025,275000,'<1H OCEAN'
-117.93,34.08,36,1597,285,901,272,4.3947,197000,'<1H OCEAN'
-119.29,34.24,27,4742,775,1682,696,6.194,500001,'NEAR OCEAN'
-118.34,33.87,28,4605,1188,2558,1093,3.6988,266600,'<1H OCEAN'
-118.4,34.15,31,3881,909,1535,846,3.0398,369100,'<1H OCEAN'
-118.11,33.87,33,1379,254,795,297,4.6713,231800,'<1H OCEAN'
-118.13,33.94,34,522,138,373,139,3.5481,265000,'<1H OCEAN'
-117.13,32.93,16,2918,444,1697,444,5.3062,195500,'<1H OCEAN'
-121.85,37.34,27,1481,409,1505,391,2.5769,137500,'<1H OCEAN'
-122.21,40.2,19,3404,731,1421,683,2.6149,84400,INLAND
-118.16,34.14,27,1551,254,816,233,8.2435,500001,'<1H OCEAN'
-117.76,33.72,14,3011,388,1359,371,7.9739,368700,'<1H OCEAN'
-117.58,33.66,4,3305,644,1693,597,5.2497,215000,'<1H OCEAN'
-121.23,37.87,49,98,24,59,26,3.65,162500,INLAND
-119.48,35.17,36,116,20,39,18,3.125,37500,INLAND
-117.83,33.87,5,6971,1449,3521,1423,5.2131,243900,'<1H OCEAN'
-122.38,37.18,52,1746,315,941,220,3.3047,286100,'NEAR OCEAN'
-117.21,34.14,16,1613,245,811,267,5.2591,140700,INLAND
-120.67,40.5,15,5343,?,2503,902,3.5962,85900,INLAND
-118.88,34.22,22,3654,517,1565,518,6.2748,274800,'<1H OCEAN'
-124.06,40.86,34,4183,?,1891,669,3.2216,98100,'NEAR OCEAN'
-117.63,34.09,8,3557,890,2251,765,2.6818,114100,INLAND
-118.23,33.93,39,2065,532,2015,535,0.8478,104900,'<1H OCEAN'
-121.94,37.33,36,1893,359,797,360,3.6818,257600,'<1H OCEAN'
-121.26,38.7,9,7812,1348,3275,1178,4.3826,146600,INLAND
-118.95,34.83,18,3278,762,1338,550,2.9891,116500,INLAND
-117.06,32.57,25,1268,282,991,299,3.0284,123600,'NEAR OCEAN'
-122.12,37.75,33,1809,261,808,219,6.86,250000,'NEAR BAY'
-121.99,37.82,22,1248,271,579,269,3.375,200000,'<1H OCEAN'
-117.35,33.95,28,1650,210,557,211,7.6632,204800,INLAND
-118.31,33.88,32,2421,671,1491,587,3.5644,242300,'<1H OCEAN'
-119.34,36.32,14,1204,227,633,247,3.925,83800,INLAND
-117.85,34.08,23,1160,166,467,178,8.105,386200,'<1H OCEAN'
-117.6,34.02,16,2103,348,1305,356,5.2849,160400,INLAND
-122.15,37.73,28,2215,587,830,573,2.1898,141700,'NEAR BAY'
-118.53,34.44,19,3013,507,1356,484,5.1163,233200,'<1H OCEAN'
-122.72,38.42,26,3604,734,2605,704,3.0969,143800,'<1H OCEAN'
-117.5,33.92,28,2101,337,1061,348,4.55,146800,INLAND
-122.04,37.34,23,2590,725,1795,680,3.16,225000,'<1H OCEAN'
-119.69,36.41,38,1016,202,540,187,2.2885,75000,INLAND
-117.9,33.65,30,2196,486,1131,460,4.4135,272300,'<1H OCEAN'
-122.37,37.95,32,1298,363,716,268,0.9797,76400,'NEAR BAY'
-122.42,37.8,52,2852,581,838,510,8.0755,500001,'NEAR BAY'
-117.9,33.72,36,443,117,577,115,3.6875,137500,'<1H OCEAN'
-118.13,34.16,52,1596,314,1024,292,3.6719,227900,'<1H OCEAN'
-117.42,34.06,27,2532,495,1305,436,2.9107,143100,INLAND
-118.1,33.91,36,726,?,490,130,3.6389,167600,'<1H OCEAN'
-122.06,37.37,18,3058,661,1377,675,6.1299,500001,'<1H OCEAN'
-117.05,32.56,17,985,233,811,223,2.875,134500,'NEAR OCEAN'
-118.34,33.92,29,1475,349,965,370,3.3558,199600,'<1H OCEAN'
-121.47,38.55,29,1303,308,861,263,1.0208,55800,INLAND
-116.99,33.01,11,1412,185,529,166,7.7517,500001,'<1H OCEAN'
-119.75,36.75,49,2331,460,1290,477,2.5111,55400,INLAND
-122.24,37.81,52,2485,313,953,327,6.8591,352400,'NEAR BAY'
-118.08,33.78,25,5321,967,1969,903,5.0102,340100,'<1H OCEAN'
-121.85,36.6,21,2381,701,1264,659,2.5372,218000,'<1H OCEAN'
-117.89,33.71,16,1591,225,926,239,6.2452,266300,'<1H OCEAN'
-118.38,34.24,38,125,42,63,29,1.3594,158300,'<1H OCEAN'
-121.48,38.55,52,2216,333,714,327,4.8603,191900,INLAND
-121.53,39.53,35,1806,293,683,295,4.5156,91200,INLAND
-121.3,38.12,11,1792,252,767,263,7.6889,229300,INLAND
-117.91,33.62,35,2426,359,937,387,9.2175,500001,'<1H OCEAN'
-122.3,37.81,52,572,109,274,82,1.8516,85000,'NEAR BAY'
-118.33,34.02,46,1528,391,933,366,2.1979,125700,'<1H OCEAN'
-116.85,32.83,17,4234,770,2191,725,3.6445,197600,'<1H OCEAN'
-122.59,37.97,46,4036,856,1872,833,4.5625,275200,'NEAR OCEAN'
-115.55,32.82,34,1540,316,1013,274,2.5664,67500,INLAND
-121.99,37.55,16,6647,2098,4649,1903,2.9074,213800,'<1H OCEAN'
-122.63,38.22,34,878,160,372,167,4.0417,232100,'<1H OCEAN'
-118.08,33.79,34,2840,395,1127,396,7.6144,376200,'<1H OCEAN'
-120.88,38.58,8,3417,604,1703,623,4.0827,170700,INLAND
-119.77,36.84,15,2058,412,891,378,3.2569,124400,INLAND
-121.21,37.81,8,1883,298,999,301,5.193,172100,INLAND
-121.97,37.31,25,5775,1225,3580,1138,3.9187,314900,'<1H OCEAN'
-120.76,35.52,7,9613,1666,4487,1653,3.6667,250600,'<1H OCEAN'
-117.06,32.6,33,905,205,989,222,2.7014,108200,'NEAR OCEAN'
-118.6,34.09,43,2228,438,960,395,7.6091,438500,'<1H OCEAN'
-121.62,39.75,20,1173,261,523,258,1.0625,92800,INLAND
-120.45,34.94,24,1702,447,1240,417,2.4091,115500,'<1H OCEAN'
-121.29,38.12,18,1534,275,741,263,3.9607,132500,INLAND
-121.88,37.24,14,7174,950,2782,899,8.3065,394200,'<1H OCEAN'
-121.88,37.35,52,1704,418,1336,411,2.8167,183500,'<1H OCEAN'
-123.82,40.16,19,2283,634,1184,453,1.2227,76800,'<1H OCEAN'
-118.01,34.12,32,1937,332,922,340,3.94,278400,INLAND
-117.63,33.5,12,3619,536,1506,492,7.2013,353600,'<1H OCEAN'
-118.14,34.69,48,1379,327,696,304,2.1167,94900,INLAND
-118.51,34.43,15,8510,1258,3733,1233,6.1082,253700,'<1H OCEAN'
-118.61,34.73,25,3080,587,1558,510,5.0839,156700,INLAND
-120.66,35.29,16,2272,629,1689,649,1.7031,195000,'NEAR OCEAN'
-118.09,33.77,27,2301,640,847,627,1.7208,67500,'<1H OCEAN'
-120.87,38.71,13,2692,470,1302,420,4,167400,INLAND
-118.19,34.12,52,679,132,483,163,4.2344,162500,'<1H OCEAN'
-118.52,34.19,37,1892,347,1039,343,4.8295,212100,'<1H OCEAN'
-122.3,37.9,37,2125,489,912,462,2.9219,217200,'NEAR BAY'
-122.02,37.35,17,2975,608,1465,577,5.8779,362200,'<1H OCEAN'
-117.34,33.98,10,17286,4952,9851,4616,1.7579,103400,INLAND
-122.31,37.54,49,1340,281,660,284,4.163,393800,'NEAR OCEAN'
-117.24,34.13,26,3774,716,1913,620,3.3534,98900,INLAND
-118.58,34.19,27,4286,1071,2863,1033,3.3125,222800,'<1H OCEAN'
-117.68,34.03,16,2859,668,1946,591,3.0396,124300,INLAND
-118.02,33.97,34,1903,293,887,306,6.148,313800,'<1H OCEAN'
-118.28,34.01,48,483,190,775,188,2.3309,126600,'<1H OCEAN'
-121.8,38.01,37,3058,567,1351,523,3.5179,130800,INLAND
-121.9,36.93,22,7281,1233,1849,832,5.3276,335500,'NEAR OCEAN'
-120.98,39.93,25,2220,511,912,449,1.8914,87800,INLAND
-117.79,33.69,15,1875,316,890,316,6.5783,244800,'<1H OCEAN'
-121.09,37.61,42,1787,296,921,287,3.8864,171400,INLAND
-118.99,35.35,27,1615,355,1380,332,1.6632,49800,INLAND
-118.91,35.24,29,2888,753,2949,699,1.7716,45500,INLAND
-118.06,33.9,37,1161,254,882,236,4.4167,158000,'<1H OCEAN'
-118.15,33.98,17,3361,925,3264,914,2.2813,145600,'<1H OCEAN'
-121.29,38.03,7,2021,441,1615,406,2.5842,111300,INLAND
-118.11,34.11,50,2131,294,753,284,6.7099,352200,'<1H OCEAN'
-121.24,37.96,37,1175,260,951,267,2.875,57700,INLAND
-118.38,34.06,25,2558,661,1183,636,3.5556,500000,'<1H OCEAN'
-119.27,36.18,23,3180,547,1829,498,2.6098,66000,INLAND
-118.06,33.98,50,1146,238,579,213,2.9583,172600,'<1H OCEAN'
-122.05,37.34,31,1443,215,627,222,6.6087,416500,'<1H OCEAN'
-120.94,37.59,16,3964,824,2622,766,2.3152,111300,INLAND
-118.01,34.14,23,3425,754,2202,729,3.52,187300,INLAND
-118.13,34.18,52,3094,519,1309,488,6.4223,310900,INLAND
-118.31,33.95,44,2490,430,1305,411,4.8295,149600,'<1H OCEAN'
-118.43,33.99,45,1899,461,1260,415,2.6667,320000,'<1H OCEAN'
-118.3,34.02,42,2386,670,2327,661,1.6699,108000,'<1H OCEAN'
-122.01,37.32,32,3108,613,1577,603,4.6613,284000,'<1H OCEAN'
-120.91,37.57,26,3396,705,2446,694,2.0521,65400,INLAND
-118.28,34.11,52,1803,437,787,388,4.5781,360500,'<1H OCEAN'
-118.17,33.96,25,3297,1066,5027,1041,2.2817,164200,'<1H OCEAN'
-120.94,40.17,22,1334,261,597,222,2.2132,89200,INLAND
